This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
19960315,-4.407,-4.664,-3.677,-0.232,0.802,0.258,0.756,1.122,1.095,0.094,-0.4,-0.146
19960318,13.398,10.068,7.432,3.378,1.897,1.346,-2.224,-2.328,-2.144,-1.375,-0.956,-0.766
19960319,4.744,2.8,3.826,2.206,1.699,2.718,-0.824,-0.67,-1.094,-0.874,-0.816,-1.509
19960320,-2.173,0.431,1.493,1.634,1.937,0.529,0.401,-0.107,-0.447,-0.665,-0.95,-0.302
19960321,-6.25,-2.241,-3.589,-0.965,-0.017,-0.33,1.154,0.565,1.118,0.402,0.008,0.19
19960322,-4.152,-3.705,-2.254,-0.938,-2.278,-0.668,0.731,0.938,0.682,0.388,1.147,0.385
19960325,-2.304,0.572,-0.971,-0.703,-1.367,-1.826,0.388,-0.137,0.288,0.288,0.672,1.045
19960326,-0.125,0.858,2.248,1.422,1.531,0.178,0.022,-0.212,-0.67,-0.583,-0.747,-0.1
19960327,2.809,-0.507,0.361,0.983,1.963,2.111,-0.485,0.126,-0.108,-0.408,-0.97,-1.192
19960328,0.532,-0.142,0,0.025,0.359,0.011,-0.096,0.036,0,-0.011,-0.182,-0.006
19960329,-2.662,-0.601,-0.865,0.212,-0.012,-0.178,0.475,0.151,0.264,-0.09,0.006,0.104
19960401,-1.09,0.678,0.916,-0.729,1.107,1.072,0.199,-0.173,-0.283,0.313,-0.588,-0.627
19960402,-10.196,-5.699,-3.134,-1.51,-2.098,-0.732,1.776,1.434,0.957,0.637,1.063,0.429
19960403,-2.792,-2.939,-2.947,-1.735,0.298,-1.175,0.445,0.695,0.858,0.72,-0.148,0.682
19960404,-0.302,-0.454,-0.963,-0.651,-1.355,-0.142,0.048,0.105,0.273,0.266,0.674,0.082
19960408,6.902,5.835,5.082,2.175,1.439,0.306,-1.077,-1.329,-1.436,-0.885,-0.708,-0.176
19960409,-7.114,-7.067,-6.678,-4.118,-2.593,-0.302,1.247,1.804,2.08,1.789,1.353,0.178
19960410,14.38,6.642,3.062,0.419,-0.298,-2.039,-2.426,-1.595,-0.897,-0.175,0.153,1.229
19960411,-7.266,-5.679,-3.681,1.605,1.848,1.001,1.455,1.576,1.203,-0.695,-0.962,-0.602
19960412,-2.323,-1.437,-1.384,-1.441,-1.16,-0.412,0.442,0.381,0.44,0.638,0.618,0.251
19960415,-4.229,-1.592,-1.143,-1.454,0.274,0.774,0.717,0.393,0.344,0.619,-0.143,-0.461
19960416,-1.35,-2.138,-1.77,-0.934,-1,-0.996,0.224,0.516,0.52,0.392,0.522,0.593
19960417,0.117,-2.367,-2.171,-1.141,-0.619,-0.434,-0.019,0.562,0.625,0.471,0.316,0.249
19960418,-5.491,-0.917,-0.341,-0.37,-0.351,0.463,0.925,0.216,0.097,0.153,0.181,-0.271
19960419,-7.21,-4.595,-3.444,-1.885,-1.587,-1,1.163,1.079,0.982,0.777,0.806,0.575
19960422,-0.94,-0.447,-1.327,-1.518,-0.866,-2.53,0.143,0.101,0.365,0.611,0.432,1.439
19960423,0.047,0.216,1.018,0.241,1.305,2.49,-0.007,-0.048,-0.285,-0.094,-0.627,-1.381
19960424,1.984,-1.183,-2.209,-0.232,-1.343,-1.311,-0.277,0.255,0.623,0.09,0.651,0.742
19960425,0.785,-0.031,-0.291,0.023,-0.119,0.171,-0.115,0.007,0.081,-0.009,0.057,-0.096
19960426,-3.366,0.238,1.565,0.185,0.176,-0.105,0.48,-0.051,-0.433,-0.072,-0.084,0.059
19960429,0.915,-1.138,-2.091,-1.121,-0.751,-0.719,-0.128,0.246,0.569,0.434,0.361,0.403
