This file contains the S&P 500 straddle returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,,,,,,,
The dates are in YYYYMMDD format,,,,,,,,,,,,
r_K^{straddle} gives the daily return of a long constant-maturity at the money straddle strategy with target maturity K months,,,,,,,,,,,,
r_K^{short straddle} gives the daily return of a short straddle strategy assuming a margin requirement equal to 20% of the current S&P 500 index level,,,,,,,,,,,,
Returns are in percent,,,,,,,,,,,,
,,,,,,,,,,,,
Date,r_1^{straddle},r_2^{straddle},r_3^{straddle},r_6^{straddle},r_9^{straddle},r_12^{straddle},r_1^{short straddle},r_2^{short straddle},r_3^{short straddle},r_6^{short straddle},r_9^{short straddle},r_12^{short straddle}
20000920,-2.727,-0.674,0.635,1.034,-0.846,-0.823,0.569,0.199,-0.231,-0.549,0.56,0.64
20000921,-0.208,1.295,-0.239,-0.134,1.349,0.883,0.043,-0.394,0.088,0.072,-0.893,-0.691
20000922,-0.007,0.174,2.281,1.167,0.762,2.232,0.002,-0.054,-0.848,-0.633,-0.513,-1.768
20000925,-2.851,-2.222,-2.065,-2.627,-1.805,-2.063,0.61,0.696,0.79,1.447,1.242,1.674
20000926,-0.179,-0.052,3.517,0.263,0.329,-0.051,0.04,0.016,-1.348,-0.145,-0.225,0.041
20000927,-4.43,-1.913,-2.727,-0.51,-0.033,0.968,1.013,0.626,1.096,0.285,0.023,-0.789
20000928,2.946,-3.104,-5.862,-0.054,-1.34,0.227,-0.646,0.978,2.303,0.03,0.929,-0.185
20000929,-2.538,0.984,2.503,-0.332,0.861,-1.1,0.508,-0.288,-0.906,0.178,-0.57,0.874
20001002,2.037,-0.382,-1.768,-0.901,-0.346,0.132,-0.497,0.115,0.669,0.489,0.236,-0.105
20001003,-2.074,2.152,3.116,-0.554,-0.456,-0.439,0.444,-0.664,-1.182,0.305,0.312,0.353
20001004,1.246,-0.889,-2.312,0.332,0.513,1.203,-0.275,0.288,0.914,-0.184,-0.356,-0.981
20001005,-4.939,-2.418,-1.326,-0.207,0.618,-0.421,1.057,0.763,0.512,0.114,-0.424,0.342
20001006,5.794,8.107,7.517,1.199,1.025,-0.141,-1.2,-2.516,-2.874,-0.661,-0.708,0.114
20001009,-0.848,0.5,0.346,-0.196,-0.217,0.9,0.19,-0.162,-0.136,0.113,0.155,-0.743
20001010,-0.963,2.046,2.176,-0.001,-0.768,-0.504,0.236,-0.691,-0.879,0,0.559,0.427
20001011,-0.252,1.788,1.005,-0.516,0.26,0.054,0.064,-0.621,-0.419,0.31,-0.192,-0.047
20001012,13.374,13.283,9.488,2.118,1.145,-1.088,-3.527,-4.812,-4.083,-1.289,-0.861,0.959
20001013,3.532,-0.393,0.052,2.311,3.89,2.243,-1.078,0.161,-0.025,-1.491,-3.023,-2.021
20001016,-8.511,-5.879,-4.555,-2.477,-2.087,-1.286,2.364,2.255,2.043,1.531,1.572,1.121
20001017,-0.669,1.603,0.613,-0.191,0.374,0.047,0.188,-0.591,-0.266,0.116,-0.277,-0.041
20001018,0.741,1.529,0.358,-0.459,0.524,1.152,-0.218,-0.588,-0.162,0.29,-0.401,-1.019
20001019,4.398,2.454,2.048,0.969,0.444,0.213,-1.327,-0.976,-0.944,-0.615,-0.344,-0.192
20001020,-6.835,-0.088,-0.841,-1.171,-0.242,-0.243,1.758,0.031,0.353,0.693,0.176,0.208
20001023,-1.594,-2.906,-2.04,-0.98,-0.981,-0.416,0.385,1.007,0.84,0.571,0.706,0.351
20001024,-1.709,-1.46,-2.868,-0.109,-0.244,-1.179,0.424,0.502,1.201,0.063,0.175,0.995
20001025,6.176,2.905,0.673,0.11,-0.326,-0.048,-1.523,-0.992,-0.281,-0.064,0.234,0.04
20001026,4.149,1.381,2.331,1.535,1.156,0.127,-1.11,-0.509,-1.029,-0.919,-0.856,-0.11
20001027,-2.435,2.311,0.296,-0.279,0.32,0.576,0.687,-0.87,-0.134,0.172,-0.242,-0.5
20001030,-2.508,-0.839,-0.656,-0.474,-0.196,-0.296,0.64,0.303,0.283,0.279,0.142,0.252
20001031,3.379,1.347,1.181,1.426,0.146,-0.843,-0.843,-0.465,-0.493,-0.83,-0.105,0.709
20001101,0.709,1.321,0.049,-0.659,-0.44,-0.141,-0.164,-0.431,-0.02,0.371,0.306,0.114
20001102,-2.11,-1.214,-0.7,-0.342,-0.003,0.274,0.506,0.407,0.283,0.193,0.002,-0.222
20001103,-3.208,-1.596,-1.066,-1.072,-1.193,-1.104,0.755,0.528,0.427,0.602,0.831,0.895
20001106,-0.108,0.404,0.412,0.997,0.699,0.286,0.025,-0.133,-0.164,-0.556,-0.482,-0.23
20001107,-0.691,-0.182,0.367,0.426,-0.286,-0.735,0.167,0.061,-0.147,-0.237,0.198,0.593
20001108,0.661,-0.273,0.481,-0.383,-1.084,-0.563,-0.162,0.092,-0.195,0.217,0.755,0.452
20001109,0.65,0.298,0.139,0.227,0.383,0.465,-0.166,-0.104,-0.059,-0.132,-0.271,-0.381
20001110,5.158,2.313,0.361,1.17,1.507,0.607,-1.387,-0.842,-0.156,-0.687,-1.078,-0.503
20001113,-2.629,-2.116,-1.24,-1.731,-1.834,-1.085,0.739,0.817,0.56,1.059,1.379,0.943
20001114,2.513,0.943,0.641,1.05,0.884,0.544,-0.766,-0.37,-0.297,-0.654,-0.665,-0.474
20001115,-3.677,-0.985,0.272,1.363,0.277,-0.704,1.016,0.358,-0.117,-0.81,-0.202,0.593
20001116,-5.705,-4.343,-3.942,-3.101,-2.427,-1.561,1.529,1.568,1.699,1.844,1.76,1.301
20001117,-6.106,-3.515,-2.05,-1.276,-1.325,-1.07,1.584,1.271,0.878,0.749,0.952,0.89
20001120,3.398,1.745,1.026,-0.286,0.267,0.537,-0.853,-0.618,-0.434,0.169,-0.193,-0.445
20001121,-3.081,-0.365,1.098,0.775,0.726,1.004,0.858,0.14,-0.497,-0.474,-0.543,-0.866
20001122,5.04,4.432,2.118,0.546,0.207,-0.414,-1.324,-1.645,-0.941,-0.332,-0.154,0.358
20001124,-1.566,0.544,1.489,1.175,1.207,0.904,0.44,-0.214,-0.699,-0.742,-0.927,-0.801
20001127,2.336,1.475,0.718,1.095,1.101,1.464,-0.606,-0.552,-0.326,-0.677,-0.832,-1.278
20001128,2.228,1.739,1.427,0.24,-0.226,-0.059,-0.585,-0.649,-0.642,-0.15,0.171,0.051
20001129,-1.47,0.207,0.425,-0.126,0.325,-0.784,0.401,-0.08,-0.199,0.08,-0.249,0.698
20001130,1.05,0.572,1.132,1.871,2.242,1.582,-0.289,-0.223,-0.532,-1.184,-1.718,-1.393
20001201,-8.522,-4.401,-3.402,-1.211,-1.692,-1.225,2.485,1.806,1.674,0.806,1.366,1.13
20001204,-2.121,0.146,-0.149,-0.399,-0.03,0.052,0.576,-0.058,0.071,0.263,0.024,-0.048
20001205,5.737,1.448,2.392,1.691,2.311,1.885,-1.553,-0.566,-1.132,-1.091,-1.817,-1.713
20001206,-0.927,-2.29,-1.189,-2.621,-4.038,-3.085,0.224,0.812,0.512,1.596,3.076,2.686
20001207,-1.504,-1.547,-0.387,-0.228,-0.289,-1.069,0.375,0.558,0.168,0.139,0.216,0.926
20001208,-0.892,-3.483,-3.765,-3.431,-2.522,-0.832,0.222,1.263,1.675,2.141,1.911,0.719
20001211,11.427,8.5,7.214,3.581,3.315,3.224,-2.812,-2.943,-3.045,-2.123,-2.405,-2.737
20001212,0.575,3.002,1.901,-0.312,-0.201,-1.122,-0.146,-1.019,-0.796,0.185,0.146,0.942
20001213,-7.216,-5.587,-4.977,-3.009,-3.893,-1.479,1.888,1.986,2.148,1.79,2.842,1.238
20001214,4.596,3.52,3.449,0.207,0.128,-1.586,-1.137,-1.187,-1.408,-0.121,-0.092,1.333
20001215,6.475,1.697,0.452,0.543,-0.371,1.454,-1.711,-0.613,-0.196,-0.325,0.273,-1.223
20001218,-0.135,2.395,4.114,2.446,1.669,0.093,0.038,-0.906,-1.858,-1.524,-1.259,-0.082
20001219,0.354,0,-1.91,-1.925,-2.73,-1.279,-0.101,0,0.861,1.21,2.088,1.121
20001220,13.65,7.345,10.271,2.375,2.748,3.784,-3.891,-2.871,-4.642,-1.509,-2.087,-3.324
20001221,-5.926,-1.806,-1.084,0.427,1.286,-2.427,1.977,0.777,0.547,-0.287,-1.022,2.286
20001222,6.787,5.305,3.272,1.611,1.409,1.719,-2.115,-2.236,-1.628,-1.082,-1.127,-1.569
20001226,1.478,0,1.193,0.617,0.675,1.27,-0.415,0,-0.56,-0.393,-0.526,-1.138
20001227,0.682,0.288,-0.146,1.233,0.851,0.648,-0.2,-0.115,0.069,-0.792,-0.661,-0.587
20001228,-6.612,-2.504,-1.599,-0.908,0.003,0.02,1.893,0.976,0.74,0.578,-0.003,-0.018
20001229,-2.771,-1.353,-1.207,-1.29,-1.633,-1.949,0.75,0.515,0.549,0.812,1.255,1.744
20010102,5.552,2.033,3.159,1.319,0.931,0.225,-1.505,-0.786,-1.453,-0.839,-0.717,-0.201
20010103,14.464,5.89,3.509,2.198,3.134,-1.239,-4.343,-2.465,-1.745,-1.478,-2.544,1.154
20010104,-3.27,-1.037,0.093,-0.343,-2.928,0.375,0.881,0.384,-0.041,0.213,2.258,-0.325
20010105,14.684,7.401,4.919,1.232,0.166,0.016,-3.932,-2.781,-2.218,-0.775,-0.127,-0.014
20010108,-1.928,0.404,0.683,1.599,1.206,1.81,0.557,-0.165,-0.33,-1.045,-0.959,-1.646
20010109,-7.354,-5.277,-4.525,-3.321,-2.556,-1.925,2.219,2.219,2.231,2.22,2.056,1.791
20010110,-1.595,0.601,0.676,0.299,0.527,0.56,0.453,-0.24,-0.318,-0.193,-0.412,-0.51
20010111,-3.535,-1.334,-1.029,-0.841,-0.589,-0.531,0.952,0.513,0.469,0.533,0.458,0.477
20010112,-6.585,-4.853,-3.557,-1.965,-2.263,-1.581,1.723,1.824,1.586,1.223,1.723,1.4
20010116,-5.567,-1.225,-1.073,-0.682,-0.01,-0.742,1.402,0.445,0.467,0.42,0.007,0.652
20010117,-0.736,-0.028,-0.762,-1.185,-0.6,-0.672,0.195,0.01,0.331,0.727,0.451,0.586
20010118,-5.709,-3.396,-1.723,0.023,-0.657,-1.089,1.457,1.237,0.741,-0.014,0.49,0.942
20010119,-1.715,-2.767,-2.809,-3.117,-3.55,-3.441,0.413,0.947,1.153,1.836,2.576,2.896
20010122,-6.079,-2.515,-1.932,-1.156,-0.518,0.465,1.466,0.852,0.781,0.668,0.369,-0.38
20010123,-5.041,-3.585,-3.665,-1.894,-1.801,-2.078,1.193,1.201,1.506,1.086,1.272,1.712
20010124,1.137,0.737,1.011,0.429,0.092,0.014,-0.256,-0.236,-0.397,-0.239,-0.063,-0.011
20010125,-1.218,0.536,0.722,0.972,1.39,1.64,0.275,-0.173,-0.287,-0.543,-0.949,-1.294
20010126,-4.316,-1.496,-0.557,-0.324,-0.042,0.175,0.993,0.493,0.225,0.184,0.029,-0.142
20010129,-1.624,-0.554,-0.959,-0.271,0.244,0.314,0.365,0.182,0.389,0.154,-0.172,-0.257
20010130,1.822,1.418,1.893,0.842,-0.118,-0.161,-0.419,-0.469,-0.766,-0.479,0.083,0.131
20010131,-6.282,-4.008,-3.444,-3.024,-2.416,-1.954,1.437,1.31,1.375,1.689,1.669,1.573
20010201,-1.832,-0.091,0.14,0.085,-0.308,-1.117,0.403,0.029,-0.055,-0.047,0.21,0.888
20010202,3.522,0.556,0.641,-0.6,-0.936,-1.023,-0.758,-0.176,-0.248,0.326,0.63,0.801
20010205,-4.136,-1.516,-0.495,-0.596,-0.078,0.05,0.916,0.496,0.199,0.333,0.054,-0.04
20010206,-2.241,-1.735,-1.642,-0.936,-0.595,-0.535,0.492,0.554,0.645,0.517,0.407,0.426
20010207,-4.973,-1.56,-0.56,-0.516,-0.299,-0.29,1.099,0.495,0.218,0.284,0.204,0.23
20010208,-3.519,-2.822,-1.719,-1.218,-1.312,-0.747,0.764,0.907,0.679,0.68,0.908,0.598
20010209,-1.214,-0.452,-0.078,0.476,0.504,0.141,0.263,0.144,0.031,-0.266,-0.349,-0.114
20010212,-4.732,-1.431,0.023,0.254,-0.029,0.043,1.051,0.467,-0.01,-0.147,0.02,-0.035
20010213,-4.76,-4.033,-3.436,-2.142,-1.769,-1.792,1.075,1.3,1.369,1.21,1.24,1.463
20010214,-2.519,-2.243,-0.933,0.078,0.063,0.26,0.563,0.726,0.369,-0.044,-0.044,-0.211
20010215,-5.656,-2.288,-1.134,-0.524,-0.679,-0.531,1.254,0.733,0.452,0.299,0.477,0.432
20010216,9.915,6.721,3.703,1.136,0.705,-0.477,-2.035,-2.035,-1.408,-0.628,-0.486,0.384
20010220,0.523,-1.231,0.143,-0.456,-1.409,-0.686,-0.119,0.408,-0.058,0.263,1.014,0.565
20010221,2.481,2.866,0.662,-0.603,-0.499,0.744,-0.612,-0.993,-0.285,0.358,0.366,-0.631
20010222,0.555,0.922,1.221,1.798,1.387,0.473,-0.143,-0.333,-0.539,-1.107,-1.047,-0.414
20010223,-2.163,-0.432,-0.577,-1.178,-1.386,-0.031,0.571,0.159,0.259,0.742,1.065,0.028
20010226,0.186,0.061,-0.174,-0.836,-0.809,-1.322,-0.05,-0.023,0.08,0.527,0.617,1.178
20010227,1.471,0,-0.207,-2.241,-1.561,-1.178,-0.363,0,0.09,1.362,1.156,1.009
20010228,3.343,3.616,0.75,0.718,-0.025,-0.712,-0.865,-1.306,-0.331,-0.431,0.018,0.61
20010301,-3.38,-1.311,-0.132,1.016,-0.534,-0.204,0.927,0.502,0.06,-0.629,0.409,0.18
20010302,-2.93,-1.396,-1.458,-1.764,-1.16,-1.537,0.786,0.531,0.671,1.105,0.884,1.348
20010305,-6.343,-2.944,-1.901,-0.983,-1.291,-0.676,1.695,1.118,0.871,0.616,0.982,0.588
20010306,-2.612,-0.966,-0.374,-0.114,-0.227,-0.271,0.678,0.362,0.17,0.07,0.17,0.234
20010307,-3.835,-3.624,-3.051,-2.019,-0.631,-0.41,0.957,1.32,1.327,1.222,0.458,0.345
20010308,-2.353,-0.528,-0.06,0.286,0.003,-1.19,0.547,0.181,0.025,-0.166,-0.002,0.983
20010309,15.52,4.226,0.99,1.043,-0.492,0.45,-3.571,-1.452,-0.418,-0.606,0.351,-0.366
20010312,24.829,18.326,16.088,3.192,4.332,2.449,-6.377,-6.7,-7.043,-1.946,-3.193,-2.073
20010313,1.909,-7.66,-8.053,-2.656,-4.237,-3.05,-0.606,3.321,4.182,1.747,3.415,2.762
20010314,7.81,2.023,1.238,0.763,-0.129,-0.193,-2.245,-0.792,-0.576,-0.472,0.098,0.167
20010315,-3.607,-3.055,-2.829,-1.952,-2.12,-1.791,1.125,1.263,1.405,1.259,1.668,1.597
20010316,3.177,0.515,-2.292,-0.397,-2.148,-2.143,-0.96,-0.207,1.105,0.25,1.647,1.868
20010319,-1.241,1.521,1.783,-0.402,0.436,0.424,0.388,-0.636,-0.869,0.261,-0.334,-0.371
20010320,2.186,0.52,0.406,1.518,-1.5,-2.107,-0.671,-0.214,-0.196,-0.949,1.141,1.819
20010321,0.394,0.552,-1.024,-0.353,-0.824,-0.995,-0.127,-0.234,0.513,0.228,0.642,0.87
20010322,-0.596,-0.776,1.956,2.085,1.973,1.293,0.201,0.344,-1.001,-1.373,-1.556,-1.15
20010323,0.198,1.155,-1.31,1.552,-0.751,0.215,-0.067,-0.513,0.69,-1.055,0.608,-0.195
20010326,-6.283,-1.265,-0.121,-0.407,0.835,1.36,1.979,0.533,0.06,0.263,-0.658,-1.192
20010327,-0.096,0.265,2.754,3.369,0.825,0.44,0.029,-0.108,-1.316,-2.161,-0.632,-0.388
20010328,3.287,-0.788,-0.091,-0.106,-0.706,0.784,-0.923,0.314,0.042,0.066,0.532,-0.666
20010329,-0.927,0.407,1.143,1.189,1.62,0.948,0.276,-0.167,-0.547,-0.766,-1.244,-0.833
20010330,-1.411,0.328,-0.155,0.052,0.627,0.369,0.423,-0.137,0.076,-0.034,-0.495,-0.33
20010402,1.079,0.924,0.975,-0.097,0.249,-0.234,-0.317,-0.377,-0.468,0.063,-0.194,0.208
20010403,10.887,7.07,3.365,0.389,0.818,-1.254,-3.428,-3.011,-1.689,-0.261,-0.648,1.129
20010404,-2.99,-1.712,-1.061,-0.137,-0.006,0.763,1.058,0.804,0.57,0.096,0.005,-0.71
20010405,8.985,2.931,0.736,0.706,-0.739,0.344,-3.138,-1.347,-0.388,-0.495,0.615,-0.323
20010406,1.631,1.823,1.854,1.655,0.88,1.782,-0.49,-0.757,-0.896,-1.073,-0.686,-1.582
20010409,-1.773,-0.524,-0.796,-0.996,-0.429,-0.439,0.573,0.231,0.405,0.678,0.347,0.405
20010410,-0.402,-0.966,0.007,1.578,0.728,-0.587,0.128,0.418,-0.004,-1.058,-0.577,0.537
20010411,-6.19,-2.157,-1.357,-1.224,-1.741,-0.899,1.816,0.871,0.642,0.794,1.348,0.795
20010412,-3.654,-1.464,-0.685,0.333,0.37,0.263,1.029,0.584,0.321,-0.214,-0.282,-0.231
20010416,-6.445,-3.787,-2.713,-1.378,-1.35,-1.628,1.708,1.436,1.212,0.854,1.008,1.394
20010417,-0.78,-0.221,-0.22,-0.025,0.462,0.598,0.221,0.085,0.098,0.015,-0.345,-0.508
20010418,16.739,10.688,8.987,5.452,3.2,3.33,-4.401,-3.922,-3.902,-3.341,-2.359,-2.82
20010419,-0.244,2.787,2.924,3.129,2.922,2,0.061,-0.964,-1.201,-1.823,-2.065,-1.632
20010420,1.002,-0.055,-0.031,0,0.215,0.831,-0.249,0.019,0.013,0,-0.154,-0.678
20010423,6.687,3.549,2.349,0.859,1.016,1.353,-1.718,-1.272,-0.998,-0.517,-0.737,-1.126
20010424,-1.983,-1.77,-1.42,-0.994,-0.475,-0.548,0.56,0.686,0.659,0.623,0.357,0.473
20010425,-1.818,1.154,0.429,0.816,0.384,0.899,0.518,-0.452,-0.199,-0.514,-0.291,-0.783
20010426,-4.375,-2.526,-1.592,-1.664,-1.098,-0.868,1.211,0.964,0.734,1.029,0.82,0.745
20010427,-3.102,-1.121,-1.434,0.268,0.301,-0.737,0.819,0.411,0.633,-0.162,-0.222,0.625
20010430,-1.656,-1.255,-1.219,-0.507,-0.32,-0.043,0.399,0.437,0.523,0.298,0.229,0.035
20010501,2.335,2.404,1.711,0.593,0.56,0.041,-0.583,-0.848,-0.737,-0.35,-0.407,-0.034
20010502,-0.823,0.545,-0.063,-0.579,0.248,-0.013,0.197,-0.186,0.026,0.338,-0.176,0.011
20010503,2.986,0.62,0.179,-0.007,-0.955,-0.492,-0.72,-0.214,-0.075,0.004,0.682,0.404
20010504,0.286,1.534,1.57,0.35,1.069,0.961,-0.073,-0.551,-0.683,-0.209,-0.776,-0.801
20010507,-2.767,-2.239,-1.96,-0.891,0.252,-0.135,0.66,0.771,0.829,0.519,-0.178,0.111
20010508,-4.026,-1.142,-0.566,-0.978,-0.397,0.115,0.991,0.396,0.239,0.575,0.284,-0.095
20010509,-3.389,-2.289,-1.727,-0.989,-1.31,-0.984,0.821,0.794,0.731,0.578,0.937,0.816
20010510,-2.199,-2.389,-1.993,-0.528,0,0,0.528,0.833,0.848,0.309,0,0
20010511,-4.663,-1.666,-1.58,-1.863,-1.675,-1.551,1.117,0.561,0.651,1.09,1.201,1.286
20010514,-3.469,-1.952,-1.029,-0.175,-0.038,-0.461,0.826,0.665,0.428,0.102,0.027,0.38
20010515,-2.609,-2.349,-2.015,-2.372,-1.794,-0.394,0.65,0.805,0.841,1.39,1.281,0.324
20010516,5.757,7.126,4.01,0.65,0.417,-0.139,-1.387,-2.399,-1.632,-0.37,-0.293,0.114
20010517,-3.253,-1.707,0.609,1.643,1.009,0.617,0.739,0.539,-0.233,-0.892,-0.673,-0.479
20010518,-1.043,-2.496,-2.559,-1.26,-0.615,-1.764,0.232,0.781,0.987,0.695,0.413,1.375
20010521,2.734,0.977,0.49,-0.254,-0.097,0.58,-0.581,-0.299,-0.185,0.137,0.065,-0.443
20010522,-0.625,-0.38,0.548,0.787,0.456,1.059,0.131,0.114,-0.203,-0.417,-0.297,-0.801
20010523,4.662,3.354,1.518,-0.674,0.283,-0.408,-0.984,-1.016,-0.572,0.362,-0.185,0.313
20010524,-7.948,-3.247,-1.723,0.455,0.586,0.889,1.745,1.022,0.67,-0.25,-0.395,-0.693
20010525,-2.018,-1.43,-1.239,-0.139,-0.819,-0.901,0.41,0.438,0.475,0.076,0.552,0.707
20010529,-1.688,-0.307,-1.122,-0.629,-0.623,-0.626,0.344,0.095,0.438,0.348,0.426,0.498
20010530,1.088,0.017,-0.384,-0.045,-0.387,-0.443,-0.238,-0.006,0.153,0.025,0.267,0.355
20010531,-0.495,0.859,1.625,1.919,2.032,1.594,0.112,-0.288,-0.67,-1.101,-1.429,-1.296
20010601,-5.725,-3.847,-3.271,-1.869,-1.586,-1.214,1.291,1.291,1.334,1.083,1.133,0.998
20010604,-6.228,-2.508,-1.505,-0.569,0.029,-0.136,1.303,0.795,0.595,0.323,-0.02,0.11
20010605,-3.76,-2.563,-1.015,-1.592,-0.991,-0.217,0.782,0.809,0.4,0.894,0.688,0.175
20010606,-2.365,-0.939,-0.579,-0.573,-0.208,-0.482,0.459,0.28,0.217,0.312,0.14,0.378
20010607,-3.622,-2.03,-1.103,-0.278,-0.07,-0.049,0.709,0.619,0.423,0.153,0.048,0.039
20010608,-3.182,-3.141,-1.651,-0.382,-0.547,-0.663,0.61,0.943,0.626,0.209,0.373,0.526
20010611,-1.232,-0.446,-0.601,-1.254,-0.777,0.087,0.236,0.133,0.229,0.702,0.534,-0.069
20010612,-1.066,-0.145,0,0.124,0.224,-0.6,0.237,0.045,0,-0.07,-0.156,0.485
20010613,-1.779,-1.774,-0.217,-0.416,-0.621,-0.365,0.392,0.563,0.085,0.235,0.432,0.293
20010614,10.389,4.069,1.473,-0.621,0.209,0.518,-2.311,-1.297,-0.589,0.359,-0.147,-0.42
20010615,-3.18,-2.643,-1.943,-0.56,-0.569,1.342,0.752,0.884,0.807,0.33,0.408,-1.113
20010618,-3.271,-1.909,-1.741,-1.64,-1.204,-2.12,0.763,0.631,0.716,0.969,0.865,1.792
20010619,-3.154,-3.822,-2.036,-0.126,-0.373,-1.113,0.751,1.283,0.843,0.074,0.27,0.93
20010620,-3.539,-1.192,-2.117,-1.269,-0.514,-0.303,0.798,0.386,0.861,0.748,0.366,0.25
20010621,-8.302,-4.155,-2.62,-3.896,-3.918,-2.81,1.819,1.33,1.041,2.221,2.755,2.294
20010622,3.305,-2.565,-3.366,-1.939,-1.075,-1.543,-0.637,0.758,1.277,1.054,0.719,1.213
20010625,-3.824,-2.324,-2.629,-2.268,-1.837,-0.989,0.785,0.69,0.979,1.224,1.23,0.773
20010626,0.616,0.658,0.004,0.019,-1.323,-1.764,-0.128,-0.197,-0.001,-0.01,0.879,1.379
20010627,-4.257,-3.4,-2.072,-1.377,-1.355,-1.164,0.916,1.034,0.779,0.747,0.904,0.896
20010628,-1.597,-2.076,-1.351,-1.103,-0.365,-0.656,0.335,0.618,0.502,0.595,0.242,0.502
20010629,-4.05,-1.865,-1.59,-1.386,-1.84,-1.295,0.807,0.542,0.579,0.731,1.185,0.974
20010702,-3.51,-1.384,-0.521,-0.234,0.634,0.763,0.684,0.394,0.182,0.119,-0.403,-0.568
20010703,-0.936,-1.405,-0.895,0.144,-0.509,-0.592,0.173,0.388,0.311,-0.073,0.318,0.431
20010705,9.63,4.413,1.928,-0.517,0.637,0.45,-1.801,-1.215,-0.668,0.264,-0.398,-0.327
20010706,10.362,7.639,4.629,1.432,2.183,0.503,-2.057,-2.204,-1.664,-0.745,-1.397,-0.375
20010709,-3.006,-1.32,-0.662,0.896,0.446,0.741,0.645,0.409,0.254,-0.49,-0.3,-0.575
20010710,1.857,1.457,0.705,-0.818,-0.639,-0.6,-0.406,-0.455,-0.27,0.45,0.427,0.467
20010711,-0.414,1.164,1.374,1.131,1.221,1.319,0.097,-0.38,-0.542,-0.629,-0.827,-1.038
20010712,10.21,3.827,2.165,2.036,2.706,1.719,-2.425,-1.254,-0.856,-1.148,-1.865,-1.384
20010713,0.422,0.344,-0.156,-0.296,-0.242,0.132,-0.093,-0.108,0.06,0.164,0.164,-0.103
20010716,2.476,-0.599,-1.171,-0.885,-1.267,-2.357,-0.519,0.182,0.44,0.483,0.846,1.835
20010717,1.997,2.744,2.388,1.496,1.333,1.042,-0.473,-0.865,-0.913,-0.826,-0.902,-0.822
20010718,3.48,0.964,-0.024,-0.64,0.563,0.961,-0.799,-0.305,0.009,0.356,-0.38,-0.747
20010719,0.598,-0.921,-0.805,-0.458,-0.544,-0.13,-0.145,0.299,0.313,0.255,0.372,0.103
20010720,-2.084,-1.66,-1.392,-1.208,-1.145,-0.496,0.475,0.528,0.535,0.667,0.775,0.389
20010723,-4.051,-1.547,-1.045,-0.2,0.061,-0.865,0.941,0.498,0.403,0.11,-0.041,0.679
20010724,2.055,2.378,0.955,0.971,0.839,0.787,-0.492,-0.798,-0.39,-0.552,-0.583,-0.626
20010725,-2.408,-1.063,1.995,1.03,0.417,1.039,0.604,0.381,-0.853,-0.61,-0.298,-0.852
20010726,0.68,-0.229,-1.352,-0.551,0.417,0.16,-0.16,0.078,0.559,0.318,-0.294,-0.129
20010727,-3.693,-2.332,-1.965,-1.181,-1.658,-1.406,0.828,0.757,0.796,0.659,1.147,1.125
20010730,-2.782,-1.095,-1.043,-0.401,-0.192,0.18,0.609,0.349,0.415,0.221,0.13,-0.142
20010731,-3.799,-3.234,-1.407,-1.817,-1.359,-1.322,0.85,1.048,0.562,1.008,0.929,1.05
20010801,-3.104,-2.962,-2.301,-0.741,-0.458,-0.575,0.675,0.92,0.877,0.402,0.306,0.444
20010802,-2.01,-2.213,-2.058,-1.636,-0.893,-0.913,0.399,0.658,0.768,0.881,0.592,0.699
20010803,-4.602,-2.722,-1.478,-1.852,-1.861,-1.403,0.907,0.796,0.541,0.973,1.212,1.062
20010806,4.463,-0.853,-1.607,-0.824,-0.73,-0.885,-0.859,0.246,0.586,0.432,0.474,0.665
20010807,-2.76,-1.115,-1.284,-0.556,-0.84,-0.475,0.559,0.333,0.482,0.298,0.552,0.361
20010808,2.677,0.183,-0.081,0.158,-1.016,-0.982,-0.528,-0.054,0.03,-0.083,0.661,0.741
20010809,-3.248,-1.906,-1.497,-0.767,-0.064,-0.026,0.672,0.576,0.563,0.414,0.042,0.02
20010810,-1.811,0.282,-0.169,-0.707,-0.215,0.055,0.363,-0.085,0.063,0.38,0.143,-0.042
20010813,-6.047,-3.26,-2.11,-0.729,-0.147,0.004,1.209,0.983,0.784,0.389,0.096,-0.003
20010814,-3.091,-2.292,-1.549,-0.757,-0.677,-0.445,0.665,0.687,0.573,0.404,0.445,0.339
20010815,-0.937,-0.821,-0.915,-0.82,-1.074,-1.39,0.199,0.244,0.336,0.437,0.705,1.06
20010816,0.748,2.648,2.015,0.954,0.971,1.196,-0.164,-0.824,-0.759,-0.509,-0.641,-0.914
20010817,10.847,3.535,4.132,3.191,1.912,1.236,-2.335,-1.133,-1.59,-1.719,-1.274,-0.954
20010820,-7.76,-3.895,-1.497,-0.277,-0.337,0.122,1.903,1.327,0.61,0.158,0.234,-0.097
20010821,0.2,-2.868,-3.162,-2.281,-1.157,-0.738,-0.046,0.96,1.293,1.278,0.794,0.584
20010822,-2.739,1.465,2.516,1.113,-0.819,-0.826,0.643,-0.498,-1.034,-0.623,0.565,0.66
20010823,-5.534,-1.129,-1.454,-0.637,0.433,0.337,1.244,0.362,0.588,0.359,-0.295,-0.265
20010824,6.464,-0.7,-0.603,0.696,0.399,0.723,-1.424,0.224,0.242,-0.392,-0.274,-0.574
