date,maturity,gamma0,gamma1,gamma2
2000-01-03,12m,0.21528352667447723,-0.06454744545289472,-0.001352311075145022
2000-01-03,1m,0.22050080413638135,-0.05307873118315075,0.0014718782464898457
2000-01-03,2m,0.22361644894537547,-0.054473263669126235,0.00043153696760496376
2000-01-03,3m,0.22655750087961982,-0.054204817357855276,-0.0002236123398545252
2000-01-03,4m,0.22601413264721,-0.05410687067791713,-0.0001932474558861602
2000-01-03,6m,0.22483805192379364,-0.054850390109885905,-0.00017755275729994463
2000-01-04,12m,0.22847297683698087,-0.06880017291743332,-0.0006138256469911948
2000-01-04,1m,0.25315092118486476,-0.054230009437086245,0.002208002010212834
2000-01-04,2m,0.24048518105243427,-0.05975633243727271,0.0005616550884776377
2000-01-04,3m,0.23792887005944827,-0.06242435017902243,-0.0011041866092250713
2000-01-04,4m,0.23682913969728805,-0.06250825792984524,-0.0010565149094141088
2000-01-04,6m,0.23438427768952794,-0.06284007328893357,-0.0005917444781419469
2000-01-05,12m,0.22875363066610643,-0.0674944287513668,-0.00017360719765097956
2000-01-05,1m,0.24336410207783848,-0.04657372389529593,0.004043745128097933
2000-01-05,2m,0.2390232997651101,-0.054882617189468644,0.0012895870934124829
2000-01-05,3m,0.24045869899319341,-0.05793167147769059,-0.0006613096981124303
2000-01-05,4m,0.23980591093058082,-0.05829186102869137,-0.0007077361676446852
2000-01-05,6m,0.23807719282068723,-0.059356539904673065,-0.00040872096032290616
2000-01-06,12m,0.22494052299381875,-0.07015652354812846,-0.0004039465168950091
2000-01-06,1m,0.23942409875315518,-0.05340166549136257,0.0044469008947517165
2000-01-06,2m,0.2370274257873585,-0.062348019499562944,0.0004897493610636246
2000-01-06,3m,0.24143155963661772,-0.06460441645363565,-0.00236036020659848
2000-01-06,4m,0.2430561100144949,-0.06310708039480568,-0.0020744887668637064
2000-01-06,6m,0.24341422013082026,-0.06221398899200191,-0.0013545192100053373
2000-01-07,12m,0.2186609115663081,-0.05571882206955779,-0.000932670188615549
2000-01-07,1m,0.19587793735881648,-0.027095071209955718,0.005458012057862494
2000-01-07,2m,0.20289292635096617,-0.037150145833614215,0.00263730668580593
2000-01-07,3m,0.20820525725896027,-0.0404172386092606,0.0014639886923856484
2000-01-07,4m,0.21095086399042268,-0.0421630505913949,0.0010245215201765984
2000-01-07,6m,0.21491473154504812,-0.04532759641833172,0.0006156571667119401
2000-01-10,12m,0.21167691035805705,-0.05442636384220528,-0.0006825775299229171
2000-01-10,1m,0.19629003581032972,-0.02836139802747551,0.005319939412936282
2000-01-10,2m,0.2000971840019779,-0.041969682771574236,0.0011127624484515136
2000-01-10,3m,0.20413811503315143,-0.044321800717071425,0.0003873596293763751
2000-01-10,4m,0.20766033847533485,-0.0438675774218885,0.0005172963199493499
2000-01-10,6m,0.21202015631509563,-0.04486422231370526,0.000753855015505294
2000-01-11,12m,0.21728274420430388,-0.05572371456389508,-0.001129357957728264
