date,factor,hump_value,mid_maturity,short_maturity,long_maturity
2000-06-22,gamma0,1.3158727296744272e-06,6m,1m,12m
2000-06-23,gamma0,-6.888467657033425e-06,6m,1m,12m
2000-06-26,gamma0,-3.091163085656018e-05,6m,1m,12m
2000-06-27,gamma0,-9.082461065355303e-05,6m,1m,12m
2000-06-28,gamma0,-7.583656475785944e-05,6m,1m,12m
2000-06-29,gamma0,-0.00010584149632261202,6m,1m,12m
2000-06-30,gamma0,-8.434736861894792e-05,6m,1m,12m
2000-07-03,gamma0,-7.0584454530793e-05,6m,1m,12m
2000-07-05,gamma0,1.0554694342639951e-05,6m,1m,12m
2000-07-06,gamma0,-8.249469545402453e-06,6m,1m,12m
2000-07-07,gamma0,-5.192906205980761e-05,6m,1m,12m
2000-07-10,gamma0,-2.4466019205883824e-05,6m,1m,12m
2000-07-11,gamma0,-6.093356064377768e-06,6m,1m,12m
2000-07-12,gamma0,1.7766719851722324e-05,6m,1m,12m
2000-07-13,gamma0,1.7617142101694104e-05,6m,1m,12m
2000-07-14,gamma0,-8.307568644282757e-06,6m,1m,12m
2000-07-19,gamma0,-7.220549453614141e-05,6m,1m,12m
2000-07-20,gamma0,-8.202518862496646e-05,6m,1m,12m
2000-07-21,gamma0,-7.004851306638299e-05,6m,1m,12m
2000-07-24,gamma0,-3.906216865538723e-05,6m,1m,12m
2000-07-25,gamma0,-2.9941010228088616e-05,6m,1m,12m
2000-07-26,gamma0,-4.330659408883401e-05,6m,1m,12m
2000-07-27,gamma0,-3.727115996337759e-05,6m,1m,12m
2000-07-28,gamma0,-1.1874147697831574e-05,6m,1m,12m
2000-07-31,gamma0,2.930981335308486e-05,6m,1m,12m
2000-08-01,gamma0,6.83089122041134e-06,6m,1m,12m
2000-08-02,gamma0,5.356670386345944e-07,6m,1m,12m
2000-08-03,gamma0,4.983185427926489e-06,6m,1m,12m
2000-08-04,gamma0,-2.9206501184735374e-05,6m,1m,12m
2000-08-07,gamma0,5.8563889550575536e-06,6m,1m,12m
2000-08-08,gamma0,-1.075274733320882e-05,6m,1m,12m
2000-08-09,gamma0,5.353931502947098e-06,6m,1m,12m
2000-08-10,gamma0,-2.5374203166591397e-05,6m,1m,12m
2000-08-11,gamma0,-3.9255744960116804e-05,6m,1m,12m
2000-08-16,gamma0,-6.9382080409418e-05,6m,1m,12m
2000-08-17,gamma0,-5.721956527026337e-05,6m,1m,12m
2000-08-18,gamma0,-8.184899312036834e-05,6m,1m,12m
2000-08-21,gamma0,-6.265805611548652e-05,6m,1m,12m
2000-08-22,gamma0,-5.9172647060726e-05,6m,1m,12m
2000-08-23,gamma0,-2.898864307736343e-05,6m,1m,12m
2000-08-24,gamma0,-4.259295455650257e-05,6m,1m,12m
2000-08-25,gamma0,-5.483996656650223e-05,6m,1m,12m
2000-08-28,gamma0,-1.804335562203089e-05,6m,1m,12m
2000-08-29,gamma0,-2.686749334247497e-05,6m,1m,12m
2000-08-30,gamma0,2.83225491395926e-05,6m,1m,12m
2000-08-31,gamma0,-2.839606553579507e-05,6m,1m,12m
2000-09-01,gamma0,-2.5002842308580925e-05,6m,1m,12m
2000-09-05,gamma0,6.967559411990124e-05,6m,1m,12m
2000-09-06,gamma0,9.805554371633191e-05,6m,1m,12m
2000-09-07,gamma0,2.6995968202770515e-05,6m,1m,12m
2000-09-08,gamma0,-9.674057732990646e-06,6m,1m,12m
2000-09-20,gamma0,-8.999722552573078e-06,6m,1m,12m
2000-09-21,gamma0,6.535669588621905e-06,6m,1m,12m
2000-09-22,gamma0,-1.700010364087031e-05,6m,1m,12m
2000-09-25,gamma0,4.680350729583455e-05,6m,1m,12m
