year-to-month,approx.1m,approx.2m,approx.3m,approx.6m,approx.12m
2000-01,0.058861596814285336,0.061346774721544824,0.062081876402568764,0.06331726262682805,0.06451823296612927
2000-02,0.0603864538007988,0.06197903214206939,0.06307050657630861,0.0638130496618397,0.06510514434474286
2000-03,0.0675658000435476,0.06464654079893359,0.06477547352658566,0.06460309835348882,0.06653453019974588
2000-04,0.05871095488348566,0.06647582973431085,0.06638917911556802,0.0692802031142129,0.07028347870821691
2000-05,0.06711790646226978,0.06466512946459313,0.06759345389471805,0.069963075051589,0.07035693089554498
2000-06,0.06446610035519959,0.06674932359389396,0.06823229419070384,0.07004040137329173,0.07066739530209241
2000-07,0.06533182209669493,0.06782031343285738,0.06758156975385175,0.06998648713855625,0.0702278644596821
2000-08,0.07230375907643521,0.06696348149252962,0.07039073333141005,0.07053357791917711,0.07035658328496378
2000-09,0.06869874845949658,0.06852708465714943,0.07049108390816698,0.07073341625800143,0.07020405308611621
2000-10,0.07580325070823701,0.06942056146599651,0.06679184268676945,0.06688075340975773,0.06560189452935875
2000-11,0.07223214232650603,0.06578920024143617,0.06718469202971482,0.06716695484825247,0.06533641675672039
2000-12,0.07056723637635291,0.06694475620479015,0.06557661260978885,0.06486984012385144,0.0652913868317306
2001-01,0.06400375627047211,0.05978438862969368,0.05708367916792796,0.05503392110725688,0.052518287542304774
2001-02,0.05907111784998008,0.056410216733559324,0.05430348771203747,0.05163391361623642,0.05135152730119238
2001-03,0.04899729552108423,0.053105069326795894,0.05158996068669798,0.050520192197132684,0.05184404775992936
2001-04,0.04083487671318815,0.047138173076425684,0.03815408118247518,0.045932247320524165,0.046205889875088516
2001-05,0.03506860258086658,0.04252701243982855,0.04041661917502082,0.04420027043676217,0.043237483948706
2001-06,0.042006976914167576,0.038853582972201546,0.03973550192243712,0.039474343718207086,0.04036941028004614
2001-07,0.035186790797191114,0.041346836781617234,0.04212140480863669,0.04012503568801205,0.04126620512171797
2001-08,0.03720108047417393,0.038387598095306334,0.0361962894588889,0.03807160961149486,0.037544280985043144
2001-09,0.025065608645814967,0.03636902585234619,0.03405190476313305,0.02748618806674831,0.03317960602664753
2001-10,0.024419937094730698,0.025191307211274393,0.02717734941929055,0.024158344902911896,0.02505409383620704
2001-11,0.02181846955508452,0.019572056152427082,0.020059739583372233,0.022278676575660475,0.02445846264875752
2001-12,0.014455744032609626,0.020564523587765483,0.020471805081927984,0.02164004409830482,0.0238127527853338
2002-01,0.017312482950641146,0.01841935994119468,0.022147629757591183,0.019615950124261053,0.022974292988725033
2002-02,0.02149240113312563,0.01916918629876925,0.018783365870537527,0.02098233920088944,0.023097581119212233
2002-03,0.017984521303589962,0.017815166637390994,0.019552063734213677,0.021504183825679694,0.02560730030765805
2002-04,0.01928775103379668,0.019352759380306134,0.021681707456618023,0.02267479529364507,0.026940975635001255
2002-05,0.02153070693159117,0.019399941485863867,0.019920755567170472,0.021782365893707724,0.024996898908537412
2002-06,0.019466806805487402,0.019369352355850848,0.01959845089394145,0.02077133989411711,0.02383633453995445
2002-07,0.020637100927964152,0.020278429406618732,0.019881593265706723,0.020021554088190383,0.021695399736399182
2002-08,0.01827081352946434,0.02039548256291153,0.018777785577534817,0.019319404551812146,0.019575900763634607
2002-09,0.01927276944211271,0.01976211811601419,0.018639076490203528,0.01801299604350673,0.0189926079492502
2002-10,0.018148025995600826,0.01867410332373652,0.01784492895992067,0.017580544337003987,0.017724013192650274
2002-11,0.012885444328694713,0.0165741332359184,0.015311313056387724,0.015521981458331943,0.017115241593755076
2002-12,0.011092290834288717,0.014202475771948046,0.015060163134819067,0.015555017886066228,0.01675014803397537
2003-01,0.009754451395720122,0.014352992471477276,0.01417174696631672,0.013775602328275526,0.014260611748162707
2003-02,0.009578783793851986,0.013861951379474003,0.01323671865932536,0.013434968763313796,0.01348783838761913
2003-03,0.012840817540420497,0.012005312777650858,0.013173978033512583,0.013614485215204593,0.013380929155101487
2003-04,0.011667644741948867,0.014611177604595675,0.012924916962171152,0.014782716732525528,0.015015094781532803
2003-05,0.01355908755470249,0.011819982981555316,0.01272226589367524,0.012204964411180156,0.012037251544358375
2003-06,0.010351928149684369,0.0121202872557706,0.011573215520384577,0.010737565166458025,0.010716219626826184
2003-07,0.007026122999722478,0.011618861395495308,0.010625760763662508,0.011407375522973169,0.011721533176760475
2003-08,0.011102025610685694,0.011088956246536169,0.011822176261962112,0.012313965655823754,0.013446543626730601
2003-09,0.012123910702789656,0.011465467458560072,0.01182922548062495,0.012440059786644794,0.012639129327765865
2003-10,0.011483618009603675,0.012843079845183021,0.012260364335102351,0.012981646134789537,0.014151546299991864
2003-11,0.014698035321828219,0.01686418727766959,0.013280984378752862,0.01363129640775406,0.015345228123375526
2003-12,0.009054023350002813,0.010570454469917612,0.01214741319501139,0.013143464046892065,0.015078028642420072
2004-01,0.008102800916898169,0.011632464244227984,0.013535781538158112,0.012443146027308862,0.014061557613167183
2004-02,0.010612565273781663,0.012416746117307486,0.012067990309975483,0.012424521629624376,0.013513458973917397
2004-03,0.014298567270782436,0.011281042004219812,0.01216342597273393,0.012313587008278143,0.01267968456221588
2004-04,0.00904346562278491,0.01101514870781798,0.01240194088596252,0.013381662169369948,0.016772719100876268
2004-05,0.015447709805203559,0.012914034234022993,0.014269092869125774,0.01654944076150684,0.019634510542337117
2004-06,0.016254241067691827,0.01344841078443131,0.014389959712116865,0.01814308324286488,0.02271626954012999
2004-07,0.010407064035647961,0.013838240077557584,0.015628992596993904,0.019598522064415817,0.022757644485467642
2004-08,0.017957170089797157,0.016503761400362242,0.018415212293724677,0.02017802349048537,0.021795235695199106
2004-09,0.023029664364164364,0.01904354121376306,0.01984049036967936,0.02086716700126453,0.022166353148176433
2004-10,0.0239699162970425,0.02064876746411303,0.021427373425002866,0.022792592923062488,0.024344711937962286
2004-11,0.025603854596786338,0.023711623916804443,0.02392323084829869,0.026233577532636155,0.028647475394345236
2004-12,0.02485206123845687,0.02764935746802631,0.026672171388278813,0.027981271126701034,0.029951234320682918
