asset,maturity,horizon,predictor,is_alpha,is_beta1,is_beta2,is_beta3,is_t_alpha,is_t_beta1,is_t_beta2,is_t_beta3,is_p_alpha,is_p_beta1,is_p_beta2,is_p_beta3,is_r_squared,is_n_obs,is_contango_intercept,is_contango_slope,is_backwardation_intercept,is_backwardation_slope,y_benchmark_in_sample,n_out_of_sample,r2_out_of_sample,clark-west_statistic,clark-west_p_value,directional_accuracy,directional_accuracy_n_correct,directional_accuracy_n_total,directional_accuracy_p_value,error present,N_is,N_obs
variance_swap,12m,daily,gamma0__12m__1m,-0.0004096333295112264,-0.0013611616140710159,0.0015919794038413112,0.014573243664187586,-0.21155408593960737,-0.020933022885009506,0.505583792361283,0.1689806186801065,0.8324549325979296,0.9832990839377874,0.6131488618475842,0.8658118862148755,0.000279050221649646,2077.0,-0.0004096333295112264,-0.0013611616140710159,0.0011823460743300848,0.01321208205011657,-8.251873954052684e-05,1963.0,-0.0004900529017479727,-0.46748899844213376,0.6799249693018043,0.5445746306673459,1069.0,1963.0,4.253188434189243e-05,,,
variance_swap,12m,daily,gamma0__12m__6m,-0.0013634617374470588,0.10064424148411852,0.00046288263563650444,-0.23116855080023047,-0.8837234877701067,0.5762525150424337,0.1874849366134033,-0.8978695368465819,0.376845497936968,0.5644445138345224,0.851280433125768,0.3692551071253154,0.0006053079759742452,2403.0,-0.0013634617374470588,0.10064424148411852,-0.0009005791018105543,-0.13052430931611195,-0.0003748215355579226,1963.0,-0.0028582106885812752,-1.3175754165953915,0.9061770902359595,0.5359144167091187,1052.0,1963.0,0.0007859596680249341,,,
variance_swap,12m,daily,gamma0__6m__1m,-0.0008532181760282617,0.024143430232347093,0.002174701269122725,-0.0003250492245656794,-0.46520420835491516,0.27990981932573356,0.7149677138926804,-0.0028797314688993555,0.6417852253135616,0.7795466935099933,0.47462899359031674,0.997702309897442,0.00033496386766951325,2077.0,-0.0008532181760282617,0.024143430232347093,0.0013214830930944636,0.023818381007781414,-8.251873954052684e-05,1963.0,-7.275798175210291e-05,0.10791558471565404,0.4570313272522531,0.5455934793683138,1071.0,1963.0,2.90834302985866e-05,,,
variance_swap,12m,daily,gamma1__12m__1m,0.010273668824671319,-2.2268652892015153,-0.007845584747262949,2.4069755038134852,1.373218478817048,-1.5687164226583499,-1.0388459092386593,1.690988827969831,0.16968443670516775,0.11671403020932869,0.29887640610412247,0.09083893642279703,0.004480888932952842,2077.0,0.010273668824671319,-2.2268652892015153,0.00242808407740837,0.18011021461196997,-8.251873954052684e-05,1963.0,-0.009772526415181337,0.5367187484922191,0.29573095174293196,0.4819154355578197,946.0,1963.0,0.9479383461162662,,,
variance_swap,12m,daily,gamma1__12m__6m,0.000935374385517753,0.3360771448192899,-0.001559174511386623,-0.26804906687117414,0.429477087822876,0.7502802447174953,-0.6479099854331957,-0.5803440957735778,0.6675760644827324,0.4530859381433455,0.5170431719329287,0.5616825965681508,0.0016520244565748632,2403.0,0.000935374385517753,0.3360771448192899,-0.0006238001258688699,0.06802807794811577,-0.0003748215355579226,1963.0,0.002275998590317574,1.4638688789991612,0.07161488902405627,0.5252165053489557,1031.0,1963.0,0.013474075678837252,,,
variance_swap,12m,daily,gamma1__6m__1m,0.013343073213596563,-3.50471102701889,-0.010680659958691191,3.779781548786745,2.5066733036200546,-2.5426837065400374,-1.943037833773923,2.726113342133767,0.012187329685567906,0.011000475739515698,0.05201158723587405,0.006408498801112368,0.007267849112841507,2077.0,0.013343073213596563,-3.50471102701889,0.0026624132549053717,0.27507052176785507,-8.251873954052684e-05,1963.0,-0.006711808552468668,0.7447718688907531,0.22820482186021085,0.49821701477330615,978.0,1963.0,0.5716419627343876,,,
variance_swap,12m,daily,gamma2__12m__1m,-0.0018946649187993978,0.059805059728285606,0.004475626017084859,0.5942850088169389,-0.9511388994066323,0.35891351804884614,1.7266373951662544,1.4385572897829164,0.3415338702728027,0.7196597865698651,0.08423280556907245,0.1502759946835517,0.0021310984488667195,2077.0,-0.0018946649187993978,0.059805059728285606,0.002580961098285461,0.6540900685452246,-8.251873954052684e-05,1963.0,-0.0047329145209082935,-0.4841048039761135,0.6858442539482732,0.4528782475802343,889.0,1963.0,0.9999867173248533,,,
variance_swap,12m,daily,gamma2__12m__6m,0.00036416348859695427,-0.14986623864901435,-0.001095547779160079,0.024325042104077908,0.25774777052536657,-0.7924957337750016,-0.6365746389448265,0.0678347610843988,0.7966015757926099,0.4280716783564037,0.5244019490003027,0.9459171721383183,0.00040146607575464177,2403.0,0.00036416348859695427,-0.14986623864901435,-0.0007313842905631247,-0.12554119654493645,-0.0003748215355579226,1963.0,-0.0006080577821634403,-0.3167109073471645,0.6242685141595872,0.5119714722363728,1005.0,1963.0,0.14957841605159608,,,
variance_swap,12m,daily,gamma2__6m__1m,-0.002374350834966686,0.38608162544752356,0.003807406419199666,0.09051500600475221,-1.037116572798995,0.7481795797870824,1.2915053006770794,0.11275187412144473,0.29968153242195694,0.4543518462862425,0.19652851825636386,0.910227273827691,0.0008110939436111186,2077.0,-0.002374350834966686,0.38608162544752356,0.00143305558423298,0.47659663145227577,-8.251873954052684e-05,1963.0,-0.0025815823153225725,-0.8736825205430333,0.8088544137040621,0.45084055017829855,885.0,1963.0,0.9999941217052772,,,
variance_swap,12m,daily,hump_gamma0,-0.0017320302293738887,6.588736266206331,0.002814421998889861,2.76662952770771,-0.785119073918131,0.497250522321644,0.9714566401262738,0.12679587137583553,0.4323837574360234,0.6190123978761348,0.3313209350906863,0.8991019635286958,0.000562452489357157,2077.0,-0.0017320302293738887,6.588736266206331,0.0010823917695159725,9.355365793914041,-8.251873954052684e-05,1963.0,0.0005043910803632645,0.8871175968171978,0.18750779553703067,0.5160468670402445,1013.0,1963.0,0.08084299336163016,,,
