This file contains the synthetic VIX futures returns used in the paper 'Risk Premia and the VIX Term Structure' by Travis Johnson,,,,,,
The dates are in YYYYMMDD format,,,,,,
r_K^{var. swap} gives the daily return of a constant-maturity variance swap with target maturity K months,,,,,,
Returns are in percent,,,,,,
,,,,,,
Date,r_1^{var. swap},r_2^{var. swap},r_3^{var. swap},r_6^{var. swap},r_9^{var. swap},r_12^{var. swap}
19960521,-1.893,4.445,4.641,1.463,0.014,0.513
19960522,-4.049,-3.384,-4.621,-3.9,-2.755,-2.503
19960523,2.015,4.665,5.351,4.01,2.372,3.093
19960524,-7.265,-4.933,-3.663,-0.19,0.184,0.073
19960528,8.476,5.143,4.829,4.94,3.299,1.391
19960529,-3.168,4.66,3.574,6.219,6.015,4.047
19960530,-12.057,-7.487,-4.22,-5.508,-4.297,1.257
19960531,2.484,3.418,1.694,2.43,1.682,0.191
19960603,-2.668,-3.715,-3.269,-2.386,-1.968,-0.811
19960604,-3.673,-1.64,-0.843,-0.293,-1.108,-0.916
19960605,1.944,1.373,-0.033,-3.114,-2.429,-0.646
19960606,8.032,5.746,3.468,2.241,2.303,2.976
19960607,-15.081,-6.03,-4.065,-1.825,-1.268,-1.306
19960610,-3.001,-0.448,0.804,1.893,0.248,1.549
19960611,-8.199,-2.316,-1.67,-0.428,-0.015,-1.596
19960612,-1.771,0.273,1.116,-0.154,3.002,1.615
19960613,-3.145,0.244,-0.056,1.61,-0.021,0.169
19960614,-4.672,0.526,-0.062,1.008,0.38,-0.009
19960617,-12.705,-4.616,-3.602,-2.228,-0.738,0.657
19960618,-4.121,-1.478,1.335,1.702,1.473,1.32
19960619,-2.155,-2.1,-0.38,1.055,0.006,-0.622
19960620,-8.472,-4.207,-3.902,-2.411,-3.071,0.179
19960621,-8.006,-4.005,-6.106,-3.947,-0.193,-2.25
19960624,-7.905,-3.093,-4.426,-1.05,-1.138,-0.576
19960625,-9.375,-5.694,-2.562,-4.084,-2.647,-2.744
19960626,-0.44,-4.44,-6.074,-3.275,0.108,-0.675
19960627,-11.781,-7.863,-11.791,-10.058,-9.439,-6.773
19960628,-6.737,-6.762,-5.21,-4.043,-3.691,-1.908
19960701,-4.285,-3.242,-6.506,-2.865,-3.374,-0.941
19960702,2.667,1.714,4.127,0.513,1.083,0.645
19960703,-5.79,1.587,4.322,4.014,3.096,-0.562
19960705,47.809,27.349,30.757,10.128,7.677,-0.214
19960708,-9.774,-3.959,-1.384,1.844,2.185,6.654
19960709,-10.748,-4.736,-2.391,-0.675,0.177,-2.425
19960710,-9.186,-6.158,-7.489,-4.371,-3.626,-0.65
19960711,45.567,22.989,13.79,8.912,6.948,4.257
19960712,-16.845,-5.953,3.65,-0.686,0.56,-0.886
19960715,76.559,35.378,-1.872,15.515,7.641,4.915
19960716,-2.906,3.374,9.863,4.948,2.197,2.901
19960717,-3.353,-6.488,-9.727,-1.286,-0.687,-2.052
19960718,-16.952,-10.546,-3.926,-8.295,-6.897,-2.106
19960719,2.002,0.479,-1.094,1.159,-0.765,-2.305
19960722,25.006,20.73,16.312,12.636,5.491,1.986
